iter	Passed	Remaining
853	7814	1336
854	7822	1326
855	7830	1317
856	7837	1307
857	7845	1298
858	7853	1289
859	7861	1279
860	7868	1270
861	7876	1260
862	7884	1251
863	7891	1242
864	7900	1233
865	7907	1223
866	7915	1214
867	7923	1204
868	7931	1195
869	7938	1186
870	7947	1177
871	7955	1167
872	7964	1158
873	7971	1149
874	7979	1139
875	7987	1130
876	7995	1121
877	8002	1111
878	8009	1102
879	8017	1093
880	8025	1084
881	8033	1074
882	8040	1065
883	8048	1056
884	8055	1046
885	8063	1037
886	8071	1028
887	8080	1019
888	8087	1009
889	8095	1000
890	8102	991
891	8110	982
892	8118	972
893	8126	963
894	8133	954
895	8141	944
896	8148	935
897	8155	926
898	8163	917
899	8170	907
900	8179	898
901	8186	889
902	8194	880
903	8202	871
904	8211	861
905	8219	852
906	8228	843
907	8235	834
908	8243	825
909	8250	816
910	8259	806
911	8268	797
912	8277	788
913	8285	779
914	8294	770
915	8301	761
916	8308	752
917	8316	742
918	8324	733
919	8331	724
920	8340	715
921	8347	706
922	8355	697
923	8363	687
924	8371	678
925	8378	669
926	8385	660
927	8393	651
928	8400	642
929	8409	632
930	8416	623
931	8424	614
932	8431	605
933	8439	596
934	8447	587
935	8455	578
936	8463	569
937	8471	559
938	8479	550
939	8486	541
940	8494	532
941	8502	523
942	8509	514
943	8516	505
944	8524	496
945	8531	486
946	8539	477
947	8547	468
948	8556	459
949	8563	450
950	8571	441
951	8578	432
952	8586	423
953	8594	414
954	8601	405
955	8608	396
956	8617	387
957	8624	378
958	8631	369
959	8639	359
960	8646	350
961	8655	341
962	8662	332
963	8670	323
964	8677	314
965	8686	305
966	8693	296
967	8702	287
968	8709	278
969	8717	269
970	8724	260
971	8732	251
972	8739	242
973	8747	233
974	8754	224
975	8763	215
976	8770	206
977	8778	197
978	8786	188
979	8793	179
980	8802	170
981	8810	161
982	8818	152
983	8826	143
984	8834	134
985	8841	125
986	8850	116
987	8857	107
988	8871	98
989	8882	89
990	8889	80
991	8899	71
992	8906	62
993	8916	53
994	8926	44
995	8934	35
996	8943	26
997	8952	17
998	8961	8
999	8970	0
